Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.128.112.231-52371-118.253.180.57-48009,10.128.112.231,52371,118.253.180.57,48009,6,,1.011,4,3,35,12,34,0,8.75,14.58380951603524,6,0,4.0,2.8284271247461903,46488.62512363996,6923.837784371909,0.16849999999999998,0.37677745420871456,1.011,0.0,2.359,0.33699999999999997,0.476589970519733,1.011,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,80.0,72.0,3956.4787339268055,2967.359050445104,0,34,6.714285714285714,11.42321302954503,0,2,0,1,1,6,0,0,0,0.34285714285714286,6.714285714285714,8.75,4.0,80.0,0,0,0,0,0,0,4.0,35.0,3.0,12.0,508,4,2,0,1.011,0.0,1.011,1.011,0,0,0,0
118.253.180.57-48009-10.128.112.231-54701,118.253.180.57,48009,10.128.112.231,54701,6,,2.324,10,3,6353,98,1200,6,635.3,545.4370816143692,98,0,32.666666666666664,46.19764303752111,2775817.555938038,5593.803786574872,0.19366666666666668,0.3950747467955343,1.125,0.0,3.7072222222222226,0.25822222222222224,0.43754130669198354,1.125,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0,200.0,60.0,4302.925989672978,1290.8777969018934,0,1200,496.2307692307692,542.0400430632627,0,0,0,0,5,13,0,0,0,0.015425783094600977,496.2307692307692,635.3,32.666666666666664,200.0,5785.0,8.0,430.29259896729775,0,0,0,10.0,6353.0,3.0,98.0,4,512,10,0,2.324,0.0,2.324,2.324,0,0,0,0
10.128.112.231-53086-118.253.180.57-48009,10.128.112.231,53086,118.253.180.57,48009,6,,9.041,9,12,2586,5884,1792,0,287.3333333333333,563.1127773368315,1200,0,490.3333333333333,513.7553460116553,936843.2695498285,2322.7519079747813,0.45205,1.1461192989824402,4.874,0.0,15.045124999999999,1.1301249999999998,1.5867148796727786,4.874,0.0,14.73690909090909,0.8219090909090909,1.4437291646380377,4.874,0.0,5,4,0,0,192.0,252.0,995.4651034177634,1327.286804557018,0,1792,403.3333333333333,544.80799005865,0,0,2,0,9,20,0,0,0,2.2753286929621037,403.3333333333333,287.3333333333333,490.3333333333333,192.0,0,0,0,2942.0,5.5,285.7142857142857,9.0,2586.0,12.0,5884.0,64240,64240,5,0,9.041,0.0,9.041,9.041,0,0,0,0
175.12.108.44-48009-10.128.112.231-49997,175.12.108.44,48009,10.128.112.231,49997,6,,0.0,1,1,6,0,6,6,6.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,20.0,0,0,0,6,3.0,3.0,0,0,0,0,0,2,0,0,0,0.0,3.0,6.0,0.0,20.0,0,0,0,0,0,0,1.0,6.0,1.0,0.0,16,515,1,0,0,0,0,0,0,0,0,0
10.128.112.231-51075-200.200.200.200-53,10.128.112.231,51075,200.200.200.200,53,17,,0.0,1,1,33,104,33,33,33.0,0.0,104,104,104.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,8.0,0,0,33,104,68.5,35.5,0,0,0,0,0,0,0,0,0,3.1515151515151514,68.5,33.0,104.0,8.0,0,0,0,0,0,0,1.0,33.0,1.0,104.0,0,0,1,0,0,0,0,0,0,0,0,0
10.128.112.231-56746-118.253.180.57-48009,10.128.112.231,56746,118.253.180.57,48009,6,,6.717,14,17,4427,6943,1824,0,316.2142857142857,535.4184182983074,1200,0,408.4117647058824,489.224964350701,1692719.9642697633,4615.155575405687,0.22390000000000002,0.6895434407393538,3.561,0.0,12.826692307692309,0.5166923076923078,1.4954907290618884,5.593,0.0,10.697812500000001,0.41981250000000003,0.8995888101481421,3.561,0.0,7,6,0,0,304.0,352.0,2084.2638082477297,2530.8917671579575,0,1824,366.7741935483871,512.6616006230444,0,0,2,0,13,30,0,0,0,1.5683306979896092,366.7741935483871,316.2142857142857,408.4117647058824,304.0,0,0,0,2944.5,6.5,350.0787677227376,14.0,4427.0,17.0,6943.0,64240,64240,7,0,6.717,0.0,6.717,6.717,0,0,0,0
10.128.112.231-62405-175.12.108.44-48009,10.128.112.231,62405,175.12.108.44,48009,6,,0.0,3,5,2148,156,1960,69,716.0,879.8776430087689,132,6,31.2,50.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0,60.0,100.0,0,0,6,1960,288.0,633.8905662651874,0,0,0,0,4,8,0,0,0,0.07262569832402235,288.0,716.0,31.2,60.0,0,0,0,156.0,5.0,0,3.0,2148.0,5.0,156.0,508,16,3,0,0,0,0,0,0,0,0,0
10.128.112.231-53974-110.242.70.57-80,10.128.112.231,53974,110.242.70.57,80,6,,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0.0,0.0,0,20.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
10.128.112.231-51481-110.242.70.57-80,10.128.112.231,51481,110.242.70.57,80,6,,0.0,1,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0.0,0.0,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,20.0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,515,0,0,0,0,0,0,0,0,0,0,0
10.128.112.231-53026-118.253.180.57-48009,10.128.112.231,53026,118.253.180.57,48009,6,,3.781,4,7,105,6217,105,0,26.25,45.46633369868303,1200,6,888.1428571428571,434.5264840100341,1672044.4326897645,2909.2832583972495,0.3781,1.1343,3.781,0.0,8.822333333333333,1.2603333333333333,1.782380493110891,3.781,0.0,8.192166666666667,0.6301666666666667,1.4090955038211175,3.781,0.0,1,4,0,0,80.0,140.0,1057.921184871727,1851.3620735255224,0,1200,574.7272727272727,541.1163697577766,0,0,0,0,5,11,0,0,0,59.20952380952381,574.7272727272727,26.25,888.1428571428571,80.0,0,0,0,6217.0,7.0,264.48029621793177,4.0,105.0,7.0,6217.0,512,4,1,0,3.781,0.0,3.781,3.781,0,0,0,0
118.253.180.57-48009-10.128.112.231-52371,118.253.180.57,48009,10.128.112.231,52371,6,,0.0,1,0,6,0,6,6,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,6,6,6.0,0.0,0,0,0,1,0,0,0,0,0,0.0,6.0,6.0,0,20.0,0,0,0,0,0,0,1.0,6.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
10.128.112.231-56759-110.242.70.57-80,10.128.112.231,56759,110.242.70.57,80,6,,0.0,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,32.0,0,0,0,0,0.0,0.0,0,0,2,0,0,1,0,0,0,0,0.0,0.0,0.0,32.0,0,0,0,0,0,0,1.0,0.0,1.0,0.0,64240,8192,0,0,0,0,0,0,0,0,0,0
