Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.50.1-51246-192.168.100.1-80,10.0.50.1,51246,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.1-22764-192.168.100.1-80,10.0.50.1,22764,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.1-55951-192.168.100.1-80,10.0.50.1,55951,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.1-44047-192.168.100.1-80,10.0.50.1,44047,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.1-37991-192.168.100.1-80,10.0.50.1,37991,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.2-11993-192.168.100.1-80,10.0.50.2,11993,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.2-15439-192.168.100.1-80,10.0.50.2,15439,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.2-43958-192.168.100.1-80,10.0.50.2,43958,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.2-53366-192.168.100.1-80,10.0.50.2,53366,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
10.0.50.2-9778-192.168.100.1-80,10.0.50.2,9778,192.168.100.1,80,6,,0.0,1,0,200,0,200,200,200.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.0,0,0,0,200,200,200.0,0.0,0,0,0,0,1,1,0,0,0,0.0,200.0,200.0,0,20.0,0,0,0,0,0,0,1.0,200.0,0.0,0.0,8192,0,1,0,0,0,0,0,0,0,0,0
