Flow ID,Source IP,Source Port,Destination IP,Destination Port,Protocol,Timestamp,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
150.171.73.16-443-172.20.10.2-63834,150.171.73.16,443,172.20.10.2,63834,6,,5.278,19,11,9009,1966,1380,0,474.1578947368421,581.0372089867798,1067,0,178.72727272727272,337.6154592833501,2079386.131110269,5683.971201212581,0.182,0.4012670449704415,1.272,0.0,7.579222222222223,0.2932222222222223,0.5820664868051831,2.008,0.0,7.0778,0.5277999999999999,0.5333206915168396,1.272,0.0,8,4,0,0,380.0,232.0,3599.8484274346347,2084.1227737779463,0,1380,365.8333333333333,525.2412831790316,0,0,0,0,12,30,0,0,0,0.21822621822621824,365.8333333333333,474.1578947368421,178.72727272727272,380.0,3751.0,5.0,881.057268722467,0,0,0,19.0,9009.0,11.0,1966.0,49157,511,13,0,5.278,0.0,5.278,5.278,0,0,0,0
180.184.1.1-53-172.20.10.2-62670,180.184.1.1,53,172.20.10.2,62670,17,,0.0,1,0,197,0,197,197,197.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,197,197,197.0,0.0,0,0,0,0,0,0,0,0,0,0.0,197.0,197.0,0,8.0,0,0,0,0,0,0,1.0,197.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
180.184.1.1-53-172.20.10.2-62668,180.184.1.1,53,172.20.10.2,62668,17,,0.0,1,0,173,0,173,173,173.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,0,0,0,173,173,173.0,0.0,0,0,0,0,0,0,0,0,0,0.0,173.0,173.0,0,8.0,0,0,0,0,0,0,1.0,173.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0
120.53.53.53-853-172.20.10.2-63835,120.53.53.53,853,172.20.10.2,63835,6,,5.546,3,0,4140,0,1380,1380,1380.0,0.0,0,0,0,0,746483.9523981247,540.9304002884961,2.773,0.778,3.551,1.995,13.865000000000002,2.773,0.778,3.551,1.995,0,0,0,0,0,0,0,0,0,60.0,0,540.9304002884961,0.0,1380,1380,1380.0,0.0,0,0,0,0,0,3,0,0,0,0.0,1380.0,1380.0,0,60.0,0,0,0,0,0,0,3.0,4140.0,0.0,0.0,501,0,3,0,5.546,0.0,5.546,5.546,0,0,0,0
172.20.10.2-64757-20.50.201.195-443,172.20.10.2,64757,20.50.201.195,443,6,,1.003,2,2,925,98,890,35,462.5,427.5,98,0,49.0,49.0,1019940.1794616153,3988.035892323031,0.3343333333333333,0.4728187343534047,1.003,0.0,0.0,0.0,0.0,0.0,0.0,4.012,1.003,0.0,1.003,1.003,2,1,0,0,40.0,40.0,1994.0179461615155,1994.0179461615155,0,890,255.75,367.86436019272105,0,0,0,0,3,4,0,0,0,0.10594594594594595,255.75,462.5,49.0,40.0,0,0,0,0,0,0,2.0,925.0,2.0,98.0,1022,16387,2,0,1.003,0.0,1.003,1.003,0,0,0,0
120.53.53.53-853-172.20.10.2-51013,120.53.53.53,853,172.20.10.2,51013,6,,6.704,5,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,745.8233890214797,1.6760000000000002,1.6818966971844616,3.551,0.0,11.931000000000001,1.6760000000000002,1.6818966971844616,3.551,0.0,0,0,0,0,0,0,0,0,0,100.0,0,745.8233890214797,0.0,0,0,0.0,0.0,0,5,0,0,0,5,0,0,0,0,0.0,0.0,0,100.0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,502,0,0,0,6.704,0.0,6.704,6.704,0,0,0,0
172.20.10.2-51011-116.205.40.114-443,172.20.10.2,51011,116.205.40.114,443,6,,1.003,1,1,1,0,1,1,1.0,0.0,0,0,0.0,0.0,997.0089730807579,1994.0179461615155,1.003,0.0,1.003,1.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,32.0,997.0089730807578,997.0089730807578,0,1,0.5,0.5,0,0,0,0,0,2,0,0,0,0.0,0.5,1.0,0.0,20.0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,507,83,1,0,1.003,0.0,1.003,1.003,0,0,0,0
172.20.10.2-62789-52.182.143.215-443,172.20.10.2,62789,52.182.143.215,443,6,,5.701,21,17,25982,138,1380,0,1237.2380952380952,399.99725055744415,99,0,8.117647058823529,24.497016271953893,4581652.34169444,6665.497281178741,0.15408108108108107,0.39640017852413534,1.515,0.0,8.140049999999999,0.28504999999999997,0.6072462824093696,2.154,0.0,4.5050625,0.1970625,0.4114523770665932,1.155,0.0,2,2,0,0,420.0,396.0,3683.564286967199,2981.9329942115423,0,1380,687.3684210526316,679.8438838227429,0,0,0,0,4,38,0,0,0,0.005311369409591256,687.3684210526316,1237.2380952380952,8.117647058823529,420.0,25947.0,19.0,392.4646781789639,0,0,0,21.0,25982.0,17.0,138.0,1021,16387,20,0,5.701,0.0,5.701,5.701,0,0,0,0
120.53.53.53-853-172.20.10.2-51537,120.53.53.53,853,172.20.10.2,51537,6,,3.153,4,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,1268.6330478908976,1.051,0.07353910524340096,1.155,0.999,6.358,1.051,0.07353910524340096,1.155,0.999,0,0,0,0,0,0,0,0,0,80.0,0,1268.6330478908976,0.0,0,0,0.0,0.0,0,4,0,0,0,4,0,0,0,0,0.0,0.0,0,80.0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,502,0,0,0,3.153,0.0,3.153,3.153,0,0,0,0
172.20.10.2-51536-112.48.179.197-443,172.20.10.2,51536,112.48.179.197,443,6,,0.0,1,1,1,0,1,1,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,32.0,0,0,0,1,0.5,0.5,0,0,0,0,0,2,0,0,0,0.0,0.5,1.0,0.0,20.0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,508,83,1,0,0,0,0,0,0,0,0,0
